heading,question,answer,column,value_min,value_max,n_surveys
Metadata,Metadata,version,4,NA,NA,12819
Metadata,Metadata,interviewer,6,NA,NA,12883
Metadata,Metadata,date,7,NA,NA,12818
Metadata,Metadata,year,9,2005,2017,12883
Metadata,Metadata,time,10,NA,NA,11813
Metadata,Metadata,place,11,NA,NA,12814
Metadata,Metadata,city,12,NA,NA,5275
Metadata,Metadata,county,13,NA,NA,5033
Beach,Visit SoCal Beaches,answered,14,0,1,4720
Beach,Visit SoCal Beaches,daily,15,0,1,4567
Beach,Visit SoCal Beaches,weekly,16,0,1,4567
Beach,Visit SoCal Beaches,monthly,17,0,1,4567
Beach,Visit SoCal Beaches,few yr,18,0,1,4567
Beach,Visit SoCal Beaches,once yr,19,0,1,4567
Beach,Visit SoCal Beaches,< once yr,20,0,1,4567
Beach,Recreational Activities,answered,21,0,9,10217
Beach,Recreational Activities,sail,22,0,1,9478
Beach,Recreational Activities,boat,23,0,1,9495
Beach,Recreational Activities,BBQ,24,0,10,9542
Beach,Recreational Activities,camp,25,0,1,9537
Beach,Recreational Activities,surf,26,0,1,9516
Beach,Recreational Activities,dive,27,0,1,9488
Beach,Recreational Activities,play,28,0,1,9542
Beach,Recreational Activities,exerc,29,0,1,9559
Beach,Recreational Activities,swim,30,0,11,9566
Beach,Recreational Activities,wild view,31,0,10,9515
Beach,Recreational Activities,horses,32,0,1,9493
Beach,Recreational Activities,fish,33,0,2,9519
Beach,Recreational Activities,spear,34,0,1,9492
Beach,Recreational Activities,eat/drink,35,0,10,9540
Beach,Recreational Activities,sports,36,0,1,9508
Beach,Recreational Activities,hunt,37,0,1,9487
Beach,Recreational Activities,ORV,38,0,1,9487
Beach,Recreational Activities,walk,39,0,1,9567
Beach,Recreational Activities,sun bathe,40,0,1,9530
Beach,Recreational Activities,music,41,0,10,9503
Beach,Recreational Activities,kayak,42,0,1,9489
Beach,Recreational Activities,drive,43,0,10,9516
Beach,Recreational Activities,paint,44,0,1,9485
Beach,Recreational Activities,other*,45,0,1,9472
Beach,Recreational Activities,*response,46,NA,NA,1290
Seafood/Fisheries,Purchasing seafood,answered,47,0,1,12333
Seafood/Fisheries,Purchasing seafood,always,48,0,1,12080
Seafood/Fisheries,Purchasing seafood,occasion,49,0,1,12080
Seafood/Fisheries,Purchasing seafood,rare,50,0,1,12080
Seafood/Fisheries,Purchasing seafood,never,51,0,1,12080
Seafood/Fisheries,Purchasing seafood,do not eat fish,52,0,1,6655
Seafood/Fisheries,Purchasing seafood,unsure,53,0,1,12078
Seafood/Fisheries,CA fisheries health better?,answered,54,0,1,11135
Seafood/Fisheries,CA fisheries health better?,yes,55,0,1,10944
Seafood/Fisheries,CA fisheries health better?,no,56,0,1,10944
Seafood/Fisheries,CA fisheries health better?,unsure,57,0,1,10944
Seafood/Fisheries,Gulf of Mexico seafood safe?,answered,58,0,1,9274
Seafood/Fisheries,Gulf of Mexico seafood safe?,yes,59,0,1,8865
Seafood/Fisheries,Gulf of Mexico seafood safe?,neutral,60,0,1,8865
Seafood/Fisheries,Gulf of Mexico seafood safe?,no,61,0,1,8865
Seafood/Fisheries,Gulf of Mexico seafood safe?,unsure,62,0,1,8865
Seafood/Fisheries,Santa Barbara seafood safe?,answered,63,0,1,3396
Seafood/Fisheries,Santa Barbara seafood safe?,yes,64,0,1,3240
Seafood/Fisheries,Santa Barbara seafood safe?,neutral,65,0,1,3240
Seafood/Fisheries,Santa Barbara seafood safe?,no,66,0,1,3240
Seafood/Fisheries,Santa Barbara seafood safe?,unsure,67,0,1,3240
Seafood/Fisheries,California seafood safe?,answered,68,0,1,7157
Seafood/Fisheries,California seafood safe?,yes,69,0,1,6866
Seafood/Fisheries,California seafood safe?,neutral,70,0,1,6866
