heading,question,column1,comment1,comment2,comment3
Beach,Recreational Activities,21,Question 36,NA,NA
Beach,Visit SoCal Beaches,14,Question 27,NA,NA
Channel Islands,Channel Islands visited,148,Question 18,NA,NA
Channel Islands,Last visited Channel Islands?-Original Categories,141,Question 17,NA,NA
Climate Change,Climate change problem?,157,Question 6,NA,NA
Coastal (General),CA ocean health better?,246,Question 19,NA,NA
Coastal (General),Good mgmnt of Coast?,242,Question 13,NA,NA
Coastal (General),Rank threats to coastal,237,Question 8,NA,NA
Coastal Science,Describe ecology,250,Question 3,NA,NA
Coastal Science,Motivation of scientists,257,Question 33,NA,NA
Demographics,Education,477,Question 55,NA,NA
Demographics,Env Issues,448,Question 65,New Question Sept 2015,NA
Demographics,Gender,474,Question 54,NA,NA
Demographics,Household Income,464,Question 52,90-120 added 2012; >150 added Sept 2017,NA
Demographics,Language,483,Question 56,NA,NA
Demographics,Last natural area visited,436,Question 31,NA,NA
Demographics,Occupation,459,Question 50,NA,NA
Demographics,Source of news,424,Question 9,Split in 2014,NA
Demographics,Valuation of nature,439,Question 24,NA,NA
Demographics,Voter,471,Question 53,NA,NA
Demographics,Year Born,461,Question 51,NA,NA
Demographics,Years at Zip,457,Question 49,NA,NA
Demographics,Zip Code,455,Question 48,NA,NA
Endangered Species,Endangered Sp laws,231,Question 25,added in 2010,NA
Management Scoring,1969 SB Spill,277,NA,NA,NA
Management Scoring,1997 Gillnet ban,295,NA,NA,NA
Management Scoring,2012 State Park Closures,394,NA,NA,NA
Management Scoring,AB 32 cap-and-trade,307,NA,NA,NA
Management Scoring,Abalone Closure,292,NA,NA,NA
Management Scoring,Ballona Rest'n,358,NA,NA,NA
Management Scoring,Beach Nests,379,NA,NA,NA
Management Scoring,Bolsa Chica Rest'n,364,NA,NA,NA
Management Scoring,CA Coastal Monument,346,NA,NA,NA
Management Scoring,CA Groundwater,415,1st asked 2014,NA,NA
Management Scoring,CI Feral Animals,385,NA,NA,NA
Management Scoring,CI Nat'l Marine Sanct.,340,NA,NA,NA
Management Scoring,CI Nat'l Park,337,NA,NA,NA
Management Scoring,Clean Water Act point source,322,NA,NA,NA
Management Scoring,Coastal Commission,301,NA,NA,NA
Management Scoring,Coastal Trail,355,NA,NA,NA
Management Scoring,Commericial Fish Laws,286,NA,NA,NA
