survey_id,column,value_chr,heading,question,answer,comment1,comment2,comment3,value_num
11086,27,o,Beach,Recreational Activities,dive,NA,NA,NA,NA
11086,28,o,Beach,Recreational Activities,play,NA,NA,NA,NA
11086,29,o,Beach,Recreational Activities,exerc,NA,NA,NA,NA
10263,45,None,Beach,Recreational Activities,other*,NA,NA,NA,NA
12123,108,p,Seafood/Fisheries,Seafood eating,never,NA,NA,NA,NA
7608,110,?,Seafood/Fisheries,Seafood Oz.,Oz.,NA,NA,NA,NA
9602,111,`,Seafood/Fisheries,Commerical Fishing Regulation Level,answered,Question 37,note: changed to commerical in 2012,"""Fishing Regulation"" changed to ""Commercial Fishing"" in 2012",NA
4204,121,Answered incorrectly,Seafood/Fisheries,Fish Threats,answered,Question 40,NA,NA,NA
7619,122,x,Seafood/Fisheries,Fish Threats,pollution,NA,NA,NA,NA
8049,122,x,Seafood/Fisheries,Fish Threats,pollution,NA,NA,NA,NA
7619,123,x,Seafood/Fisheries,Fish Threats,exotic p/a,NA,NA,NA,NA
7626,123,x,Seafood/Fisheries,Fish Threats,exotic p/a,NA,NA,NA,NA
7619,124,x,Seafood/Fisheries,Fish Threats,excessive h/c,NA,NA,NA,NA
8049,124,x,Seafood/Fisheries,Fish Threats,excessive h/c,NA,NA,NA,NA
7619,125,x,Seafood/Fisheries,Fish Threats,habitat dest,NA,NA,NA,NA
6923,126,?,Seafood/Fisheries,Fish Threats,acid,NA,NA,NA,NA
7619,126,x,Seafood/Fisheries,Fish Threats,acid,NA,NA,NA,NA
7619,127,x,Seafood/Fisheries,Fish Threats,temp,NA,NA,NA,NA
7626,127,x,Seafood/Fisheries,Fish Threats,temp,NA,NA,NA,NA
8049,127,x,Seafood/Fisheries,Fish Threats,temp,NA,NA,NA,NA
1408,148,?,Channel Islands,Channel Islands visited,answered,Question 18,NA,NA,NA
4464,184,`,Natural Disaster-Oil Spill,Joint Resonse to BP Oil Spill,answered,Question 41,NA,NA,NA
4465,184,`,Natural Disaster-Oil Spill,Joint Resonse to BP Oil Spill,answered,Question 41,NA,NA,NA
4466,184,`,Natural Disaster-Oil Spill,Joint Resonse to BP Oil Spill,answered,Question 41,NA,NA,NA
11284,196,-,Natural Disaster-Oil Spill,Joint Resonse to Refugio Oil Spill,horrible,NA,NA,NA,NA
2332,257,?,Coastal Science,Motivation of scientists,answered,Question 33,NA,NA,NA
2467,257,?,Coastal Science,Motivation of scientists,answered,Question 33,NA,NA,NA
2490,257,?,Coastal Science,Motivation of scientists,answered,Question 33,NA,NA,NA
10908,291,-,Management Scoring,Rec Fish Laws,unsure,NA,NA,NA,NA
6289,367,`1,Management Scoring,Malibu Lagoon Rest'n,answered,NA,NA,NA,NA
3881,456,Illegible,Demographics,Zip Code,Zip,NA,NA,NA,NA
4515,456,03010 retired,Demographics,Zip Code,Zip,NA,NA,NA,NA
5771,456,V823J9,Demographics,Zip Code,Zip,NA,NA,NA,NA
6256,456,v8y2n2,Demographics,Zip Code,Zip,NA,NA,NA,NA
6514,456,l653y8,Demographics,Zip Code,Zip,NA,NA,NA,NA
